rq,kp,zg,zd,sp,cjl,cje,code
2020/11/16,1.556,1.62,1.451,1.465,1445363837,2119240704.0,588000
2020/11/17,1.46,1.46,1.43,1.436,1080636535,1553721856.0,588000
2020/11/18,1.435,1.445,1.422,1.424,863188131,1234788608.0,588000
2020/11/19,1.424,1.44,1.412,1.438,685401807,980394624.0,588000
2020/11/20,1.436,1.444,1.431,1.435,601003363,862623936.0,588000
2020/11/23,1.434,1.434,1.416,1.422,797506121,1133175040.0,588000
2020/11/24,1.419,1.424,1.414,1.416,564806713,800897408.0,588000
2020/11/25,1.417,1.42,1.391,1.393,818612169,1148131328.0,588000
2020/11/26,1.391,1.401,1.384,1.39,519167922,722125376.0,588000
2020/11/27,1.388,1.4,1.385,1.392,520632671,724061056.0,588000
2020/11/30,1.397,1.401,1.385,1.391,635030206,885500672.0,588000
2020/12/01,1.388,1.411,1.386,1.409,586750280,822774336.0,588000
2020/12/02,1.411,1.42,1.408,1.414,523790784,741100096.0,588000
2020/12/03,1.412,1.422,1.404,1.417,443823363,627615104.0,588000
2020/12/04,1.415,1.415,1.406,1.411,371360180,523662400.0,588000
2020/12/07,1.415,1.422,1.411,1.412,461404464,654078848.0,588000
2020/12/08,1.413,1.414,1.405,1.408,415196098,584974848.0,588000
2020/12/09,1.408,1.411,1.377,1.38,782642654,1089123072.0,588000
2020/12/10,1.378,1.389,1.371,1.383,436784193,603425344.0,588000
2020/12/11,1.382,1.397,1.381,1.396,520034375,723082304.0,588000
2020/12/14,1.398,1.417,1.391,1.413,509072497,716152192.0,588000
2020/12/15,1.41,1.418,1.4,1.406,481061094,677765440.0,588000
2020/12/16,1.4,1.401,1.384,1.388,439325725,610392832.0,588000
2020/12/17,1.386,1.406,1.383,1.406,426540921,595395200.0,588000
2020/12/18,1.42,1.42,1.4,1.403,407483610,574006656.0,588000
2020/12/21,1.401,1.431,1.398,1.43,751259379,1069955008.0,588000
2020/12/22,1.419,1.432,1.399,1.403,586826055,830906496.0,588000
2020/12/23,1.403,1.419,1.397,1.417,477450375,672840832.0,588000
2020/12/24,1.416,1.425,1.39,1.393,562803353,790005504.0,588000
2020/12/25,1.395,1.4,1.383,1.394,460882204,642137536.0,588000
2020/12/28,1.387,1.391,1.377,1.38,600205060,829445696.0,588000
2020/12/29,1.38,1.393,1.379,1.381,482822496,668274560.0,588000
2020/12/30,1.381,1.407,1.377,1.403,612840999,855521856.0,588000
2020/12/31,1.408,1.435,1.406,1.434,880339287,1254346752.0,588000
2021/01/04,1.436,1.468,1.429,1.464,881063399,1281133056.0,588000
2021/01/05,1.46,1.469,1.452,1.468,643815942,941124096.0,588000
2021/01/06,1.467,1.475,1.45,1.458,488038816,712273920.0,588000
2021/01/07,1.457,1.458,1.415,1.429,870901605,1245168640.0,588000
2021/01/08,1.425,1.428,1.41,1.423,661910759,938479872.0,588000
2021/01/11,1.422,1.45,1.421,1.437,707849292,1017183680.0,588000
2021/01/12,1.429,1.451,1.42,1.45,557717681,804060928.0,588000
2021/01/13,1.452,1.46,1.434,1.454,653660152,946447552.0,588000
2021/01/14,1.45,1.524,1.444,1.498,1485670329,2214887168.0,588000
2021/01/15,1.5,1.512,1.476,1.492,919191594,1375169280.0,588000
2021/01/18,1.486,1.543,1.48,1.526,891473242,1351225344.0,588000
2021/01/19,1.524,1.534,1.486,1.492,956305867,1442207360.0,588000
2021/01/20,1.49,1.525,1.487,1.524,864218178,1307083648.0,588000
2021/01/21,1.529,1.539,1.512,1.526,645712328,985780928.0,588000
2021/01/22,1.524,1.536,1.501,1.536,637854852,967383744.0,588000
2021/01/25,1.526,1.557,1.514,1.542,729258365,1121347584.0,588000
2021/01/26,1.539,1.557,1.516,1.524,673730058,1032874304.0,588000
2021/01/27,1.525,1.53,1.485,1.503,625435396,939428288.0,588000
2021/01/28,1.486,1.506,1.462,1.469,731655913,1086206592.0,588000
2021/01/29,1.475,1.484,1.445,1.467,779108827,1140998912.0,588000
2021/02/01,1.47,1.481,1.456,1.467,605994079,887787392.0,588000
2021/02/02,1.464,1.479,1.458,1.478,539718461,794266944.0,588000
2021/02/03,1.475,1.485,1.454,1.456,540408359,794062400.0,588000
2021/02/04,1.447,1.453,1.41,1.435,820592019,1171295360.0,588000
2021/02/05,1.434,1.447,1.413,1.414,585699710,838125056.0,588000
2021/02/08,1.413,1.435,1.409,1.425,433399963,616648448.0,588000
2021/02/09,1.426,1.476,1.424,1.472,603609280,875572864.0,588000
2021/02/10,1.47,1.482,1.451,1.478,586884971,862459840.0,588000
2021/02/18,1.496,1.505,1.472,1.476,606120121,899793728.0,588000
2021/02/19,1.473,1.473,1.447,1.472,576221136,840598976.0,588000
2021/02/22,1.472,1.479,1.431,1.433,854329106,1243086976.0,588000
2021/02/23,1.423,1.444,1.419,1.433,558992638,800165760.0,588000
2021/02/24,1.435,1.44,1.401,1.409,1020078153,1446579072.0,588000
2021/02/25,1.413,1.416,1.392,1.393,880317119,1232730368.0,588000
2021/02/26,1.376,1.386,1.366,1.368,1126996773,1546010880.0,588000
2021/03/01,1.375,1.401,1.375,1.4,732578413,1016775488.0,588000
2021/03/02,1.412,1.414,1.385,1.392,590004812,825491712.0,588000
2021/03/03,1.391,1.401,1.38,1.4,435786819,606334464.0,588000
2021/03/04,1.391,1.403,1.364,1.366,1021283619,1404543744.0,588000
2021/03/05,1.356,1.378,1.351,1.37,595833015,812491968.0,588000
2021/03/08,1.375,1.378,1.315,1.316,1235497777,1658452864.0,588000
2021/03/09,1.316,1.319,1.265,1.269,1011017568,1302723584.0,588000
2021/03/10,1.286,1.297,1.267,1.272,602195423,770929792.0,588000
2021/03/11,1.278,1.312,1.266,1.304,718380547,928782464.0,588000
2021/03/12,1.306,1.308,1.29,1.298,403289795,523461088.0,588000
2021/03/15,1.292,1.293,1.25,1.26,801712820,1015466880.0,588000
2021/03/16,1.262,1.268,1.248,1.258,493030593,620269248.0,588000
2021/03/17,1.256,1.273,1.249,1.271,461687794,584085696.0,588000
2021/03/18,1.271,1.286,1.271,1.277,397403549,508677504.0,588000
2021/03/19,1.26,1.277,1.256,1.266,361357123,457860672.0,588000
2021/03/22,1.268,1.282,1.263,1.28,366132922,467457664.0,588000
2021/03/23,1.281,1.292,1.269,1.273,396738957,508153792.0,588000
2021/03/24,1.267,1.279,1.257,1.258,433041239,547717696.0,588000
2021/03/25,1.253,1.267,1.25,1.259,381307917,479927584.0,588000
2021/03/26,1.262,1.294,1.26,1.293,627068549,803016064.0,588000
2021/03/29,1.292,1.299,1.284,1.286,398030729,514038496.0,588000
2021/03/30,1.284,1.295,1.281,1.286,296059594,381288800.0,588000
2021/03/31,1.284,1.289,1.273,1.284,284891555,364330848.0,588000
2021/04/01,1.286,1.305,1.285,1.303,462274350,600499584.0,588000
2021/04/02,1.306,1.34,1.306,1.338,760546305,1011916416.0,588000
2021/04/06,1.344,1.347,1.329,1.335,325584504,434756160.0,588000
2021/04/07,1.333,1.34,1.321,1.339,321714413,427555552.0,588000
2021/04/08,1.332,1.342,1.326,1.33,268991125,358739776.0,588000
2021/04/09,1.328,1.333,1.306,1.309,370436469,487558432.0,588000
2021/04/12,1.307,1.317,1.278,1.282,481190066,623213376.0,588000
2021/04/13,1.279,1.295,1.277,1.28,329064706,422983744.0,588000
2021/04/14,1.284,1.293,1.282,1.29,252401338,325229536.0,588000
2021/04/15,1.287,1.303,1.282,1.3,291947766,376988288.0,588000
2021/04/16,1.301,1.317,1.294,1.315,402135370,525451520.0,588000
2021/04/19,1.314,1.338,1.308,1.336,509177305,675549376.0,588000
2021/04/20,1.335,1.342,1.329,1.33,428182620,571551232.0,588000
2021/04/21,1.323,1.33,1.313,1.325,302480437,400202560.0,588000
2021/04/22,1.326,1.347,1.326,1.345,470849974,630691520.0,588000
2021/04/23,1.342,1.356,1.338,1.352,369738639,498777376.0,588000
2021/04/26,1.351,1.375,1.35,1.352,575197770,783638336.0,588000
2021/04/27,1.353,1.355,1.335,1.352,329456561,443353600.0,588000
2021/04/28,1.348,1.366,1.343,1.361,329044622,446670368.0,588000
2021/04/29,1.363,1.376,1.352,1.363,298279717,406835840.0,588000
2021/04/30,1.36,1.367,1.352,1.364,293606988,399301600.0,588000
2021/05/06,1.359,1.362,1.338,1.348,289210657,390484416.0,588000
2021/05/07,1.345,1.353,1.303,1.304,493970259,653776192.0,588000
2021/05/10,1.302,1.304,1.288,1.294,396008035,512312480.0,588000
2021/05/11,1.288,1.299,1.278,1.294,374170663,481925856.0,588000
2021/05/12,1.29,1.311,1.288,1.31,310655754,404026592.0,588000
2021/05/13,1.305,1.325,1.298,1.313,339020427,444188448.0,588000
2021/05/14,1.316,1.342,1.31,1.341,427653531,568294080.0,588000
2021/05/17,1.341,1.375,1.34,1.367,746644216,1020223616.0,588000
2021/05/18,1.366,1.37,1.355,1.359,286634343,389909440.0,588000
2021/05/19,1.356,1.373,1.354,1.365,311258079,425053344.0,588000
2021/05/20,1.362,1.378,1.361,1.369,308302085,423171456.0,588000
2021/05/21,1.37,1.379,1.352,1.354,303537729,413597440.0,588000
2021/05/24,1.35,1.372,1.342,1.371,390930292,531710848.0,588000
2021/05/25,1.37,1.41,1.368,1.408,712726993,995164928.0,588000
2021/05/26,1.408,1.414,1.399,1.404,370302020,520955808.0,588000
2021/05/27,1.4,1.44,1.399,1.437,670934298,958486272.0,588000
2021/05/28,1.434,1.456,1.42,1.43,578216759,832443648.0,588000
2021/05/31,1.44,1.485,1.44,1.484,816892163,1197392640.0,588000
2021/06/01,1.485,1.51,1.475,1.502,849307593,1273081856.0,588000
2021/06/02,1.5,1.508,1.465,1.469,695752517,1031724800.0,588000
2021/06/03,1.47,1.483,1.453,1.456,579121362,848609920.0,588000
2021/06/04,1.45,1.489,1.447,1.475,604077600,889561920.0,588000
2021/06/07,1.484,1.494,1.468,1.475,409651530,606902976.0,588000
2021/06/08,1.483,1.491,1.454,1.465,470895019,692839360.0,588000
2021/06/09,1.464,1.487,1.46,1.472,449632264,663567360.0,588000
2021/06/10,1.473,1.502,1.47,1.498,528200001,786195072.0,588000
2021/06/11,1.5,1.503,1.478,1.493,554769215,827999488.0,588000
2021/06/15,1.491,1.519,1.482,1.499,644683315,967841408.0,588000
2021/06/16,1.497,1.5,1.45,1.453,652979941,959662464.0,588000
2021/06/17,1.455,1.53,1.455,1.528,1021937343,1530462976.0,588000
2021/06/18,1.528,1.553,1.521,1.55,754820294,1163001344.0,588000
2021/06/21,1.54,1.585,1.533,1.584,754940593,1183330688.0,588000
2021/06/22,1.584,1.588,1.56,1.58,582710509,918041472.0,588000
2021/06/23,1.58,1.608,1.572,1.588,717373522,1141193856.0,588000
2021/06/24,1.581,1.591,1.551,1.561,637520447,997342592.0,588000
2021/06/25,1.56,1.597,1.556,1.595,563482878,887101184.0,588000
2021/06/28,1.592,1.635,1.588,1.618,626875645,1014072064.0,588000
2021/06/29,1.618,1.633,1.602,1.621,496731199,803214784.0,588000
2021/06/30,1.621,1.664,1.615,1.648,643029829,1058815616.0,588000
2021/07/01,1.652,1.653,1.625,1.633,657508686,1077879936.0,588000
2021/07/02,1.62,1.62,1.58,1.594,736607090,1178440576.0,588000
2021/07/05,1.6,1.641,1.598,1.64,578012091,939601728.0,588000
2021/07/06,1.641,1.643,1.567,1.591,865510520,1385653632.0,588000
2021/07/07,1.572,1.629,1.572,1.624,698780180,1121772800.0,588000
2021/07/08,1.629,1.674,1.626,1.67,756426151,1254932352.0,588000
2021/07/09,1.654,1.66,1.615,1.644,753604786,1232915968.0,588000
2021/07/12,1.651,1.671,1.636,1.66,621408650,1026853056.0,588000
2021/07/13,1.657,1.679,1.633,1.654,590410652,974929408.0,588000
2021/07/14,1.641,1.643,1.615,1.616,503060414,819191360.0,588000
2021/07/15,1.61,1.626,1.592,1.617,521195910,838668032.0,588000
2021/07/16,1.625,1.629,1.581,1.584,640091585,1026721920.0,588000
2021/07/19,1.567,1.589,1.557,1.573,497326688,781626496.0,588000
2021/07/20,1.562,1.585,1.56,1.577,402456084,633062656.0,588000
2021/07/21,1.582,1.635,1.581,1.623,786470730,1272365440.0,588000
2021/07/22,1.624,1.644,1.605,1.638,512529640,833679296.0,588000
2021/07/23,1.646,1.65,1.606,1.627,494732117,804825664.0,588000
2021/07/26,1.619,1.627,1.555,1.616,625852127,999915392.0,588000
2021/07/27,1.61,1.687,1.6,1.605,939369450,1545472768.0,588000
2021/07/28,1.588,1.615,1.534,1.574,770288002,1215302528.0,588000
2021/07/29,1.607,1.66,1.601,1.651,823317292,1342423296.0,588000
2021/07/30,1.647,1.668,1.63,1.651,664114927,1092718464.0,588000
2021/08/02,1.65,1.68,1.63,1.657,605886405,1001764096.0,588000
2021/08/03,1.643,1.651,1.615,1.621,519948231,848216576.0,588000
2021/08/04,1.62,1.667,1.619,1.665,622859079,1028387840.0,588000
2021/08/05,1.661,1.676,1.64,1.664,461509562,766356224.0,588000
2021/08/06,1.685,1.696,1.634,1.65,468500643,778964672.0,588000
2021/08/09,1.626,1.641,1.608,1.631,409911881,664975424.0,588000
2021/08/10,1.629,1.651,1.626,1.647,347676666,570009024.0,588000
2021/08/11,1.644,1.651,1.622,1.639,322977839,528348032.0,588000
2021/08/12,1.632,1.664,1.629,1.646,302484919,498794880.0,588000
2021/08/13,1.633,1.647,1.608,1.611,366340140,594535680.0,588000
2021/08/16,1.601,1.625,1.595,1.607,312578875,502537792.0,588000
2021/08/17,1.603,1.614,1.565,1.566,442018010,700688640.0,588000
2021/08/18,1.57,1.587,1.559,1.565,394908657,620089664.0,588000
2021/08/19,1.567,1.609,1.565,1.603,437777148,695966976.0,588000
2021/08/20,1.591,1.614,1.572,1.59,525346869,833313856.0,588000
2021/08/23,1.591,1.626,1.582,1.621,438934726,706829248.0,588000
2021/08/24,1.624,1.644,1.611,1.636,479593060,783181312.0,588000
2021/08/25,1.634,1.634,1.59,1.601,540169327,866545024.0,588000
2021/08/26,1.597,1.611,1.55,1.555,632514520,994398208.0,588000
2021/08/27,1.55,1.564,1.532,1.538,456084631,704898432.0,588000
2021/08/30,1.548,1.564,1.518,1.527,449433709,692069824.0,588000
2021/08/31,1.524,1.524,1.479,1.491,602956498,899868992.0,588000
2021/09/01,1.492,1.494,1.455,1.48,644093807,950153728.0,588000
2021/09/02,1.481,1.481,1.449,1.456,635272951,927672128.0,588000
2021/09/03,1.45,1.47,1.437,1.457,752812234,1095055872.0,588000
2021/09/06,1.456,1.495,1.446,1.493,726645976,1073486912.0,588000
2021/09/07,1.483,1.496,1.479,1.494,400284342,596263552.0,588000
2021/09/08,1.493,1.495,1.461,1.467,582434755,858093312.0,588000
2021/09/09,1.461,1.477,1.445,1.454,490503438,714324032.0,588000
2021/09/10,1.452,1.484,1.445,1.482,584937869,858262592.0,588000
2021/09/13,1.475,1.477,1.438,1.438,687037625,996545088.0,588000
2021/09/14,1.438,1.466,1.436,1.452,501122978,729567296.0,588000
2021/09/15,1.449,1.45,1.432,1.437,466100621,670214976.0,588000
2021/09/16,1.433,1.435,1.401,1.402,883672196,1248518656.0,588000
2021/09/17,1.403,1.415,1.385,1.413,867534348,1214376960.0,588000
2021/09/22,1.395,1.413,1.39,1.41,456035553,641086528.0,588000
2021/09/23,1.413,1.428,1.405,1.419,486417921,689247680.0,588000
2021/09/24,1.418,1.442,1.413,1.428,592149453,848178240.0,588000
2021/09/27,1.435,1.448,1.408,1.424,531684215,760426752.0,588000
2021/09/28,1.42,1.434,1.405,1.407,446481963,631611520.0,588000
2021/09/29,1.398,1.412,1.389,1.399,639716005,895445696.0,588000
2021/09/30,1.404,1.425,1.402,1.423,463786325,657051136.0,588000
2021/10/08,1.432,1.44,1.415,1.417,442395066,629881024.0,588000
2021/10/11,1.419,1.43,1.4,1.404,535707076,757014336.0,588000
2021/10/12,1.401,1.408,1.364,1.371,919746409,1270618368.0,588000
2021/10/13,1.37,1.399,1.37,1.395,699312690,971182208.0,588000
2021/10/14,1.391,1.406,1.391,1.398,337346746,472141888.0,588000
2021/10/15,1.4,1.419,1.392,1.418,476937328,672592448.0,588000
2021/10/18,1.416,1.417,1.391,1.405,427576026,598892160.0,588000
2021/10/19,1.404,1.421,1.403,1.42,401052867,567328320.0,588000
2021/10/20,1.424,1.434,1.416,1.424,461819579,658478720.0,588000
2021/10/21,1.421,1.431,1.41,1.415,416431821,590926592.0,588000
2021/10/22,1.416,1.43,1.412,1.423,391140494,556588864.0,588000
2021/10/25,1.419,1.435,1.413,1.434,424311334,603890432.0,588000
2021/10/26,1.434,1.441,1.424,1.429,479231563,686878208.0,588000
2021/10/27,1.426,1.427,1.404,1.412,355638581,502812896.0,588000
2021/10/28,1.408,1.422,1.405,1.412,326312925,461208160.0,588000
2021/10/29,1.412,1.452,1.41,1.45,720939061,1035356480.0,588000
2021/11/01,1.449,1.47,1.445,1.459,541822818,789748480.0,588000
2021/11/02,1.459,1.478,1.448,1.46,599499678,877889472.0,588000
2021/11/03,1.461,1.472,1.44,1.454,459789000,667779648.0,588000
2021/11/04,1.456,1.473,1.456,1.466,431258873,632542464.0,588000
2021/11/05,1.469,1.471,1.448,1.453,482074528,704116736.0,588000
2021/11/08,1.449,1.455,1.435,1.454,318471415,460734624.0,588000
2021/11/09,1.454,1.476,1.45,1.476,476205396,698941760.0,588000
2021/11/10,1.473,1.476,1.454,1.475,421041658,617636608.0,588000
2021/11/11,1.469,1.498,1.467,1.493,525640950,781025536.0,588000
2021/11/12,1.488,1.498,1.481,1.497,338673146,505480736.0,588000
2021/11/15,1.498,1.504,1.485,1.486,392683537,586185920.0,588000
2021/11/16,1.484,1.493,1.474,1.475,314339965,466055296.0,588000
2021/11/17,1.474,1.493,1.47,1.491,343534114,509333376.0,588000
2021/11/18,1.485,1.489,1.471,1.479,286268504,423432640.0,588000
2021/11/19,1.477,1.501,1.475,1.501,396075273,592020032.0,588000
2021/11/22,1.5,1.539,1.5,1.533,582089377,889117952.0,588000
2021/11/23,1.529,1.542,1.528,1.532,389239248,597299904.0,588000
2021/11/24,1.532,1.545,1.526,1.527,268522987,412349760.0,588000
2021/11/25,1.526,1.534,1.521,1.524,231488790,353152640.0,588000
2021/11/26,1.519,1.525,1.507,1.515,260774239,394934080.0,588000
2021/11/29,1.505,1.531,1.5,1.531,353114681,537312512.0,588000
2021/11/30,1.531,1.535,1.517,1.53,333126974,508845120.0,588000
2021/12/01,1.528,1.535,1.509,1.511,306461138,464733536.0,588000
2021/12/02,1.505,1.511,1.482,1.483,426356945,636756224.0,588000
2021/12/03,1.483,1.5,1.483,1.499,317236582,473670784.0,588000
2021/12/06,1.498,1.498,1.46,1.462,476441625,702827072.0,588000
2021/12/07,1.468,1.471,1.435,1.447,574226193,830913664.0,588000
2021/12/08,1.452,1.471,1.452,1.468,437621823,640510016.0,588000
2021/12/09,1.469,1.493,1.463,1.489,459048526,678945408.0,588000
2021/12/10,1.483,1.501,1.479,1.499,427506070,637624128.0,588000
2021/12/13,1.497,1.502,1.488,1.495,414312751,619807808.0,588000
2021/12/14,1.489,1.504,1.487,1.493,272995334,408207264.0,588000
2021/12/15,1.489,1.495,1.474,1.475,221573370,329066368.0,588000
2021/12/16,1.477,1.488,1.473,1.478,182336013,269583616.0,588000
2021/12/17,1.474,1.481,1.448,1.452,357341347,520818656.0,588000
2021/12/20,1.444,1.455,1.417,1.421,514369132,736798912.0,588000
2021/12/21,1.419,1.434,1.417,1.431,284721650,406000672.0,588000
2021/12/22,1.433,1.44,1.426,1.428,214834340,307894656.0,588000
2021/12/23,1.431,1.433,1.421,1.43,190377658,272204480.0,588000
2021/12/24,1.427,1.431,1.408,1.415,309289678,437493952.0,588000
2021/12/27,1.413,1.424,1.404,1.411,288148892,406892800.0,588000
2021/12/28,1.413,1.423,1.411,1.422,242348105,343423008.0,588000
2021/12/29,1.42,1.423,1.406,1.41,232425354,328216096.0,588000
2021/12/30,1.41,1.434,1.408,1.43,276807399,394595872.0,588000
2021/12/31,1.435,1.454,1.435,1.452,341348514,493584064.0,588000
2022/01/04,1.454,1.457,1.416,1.42,413029916,588537344.0,588000
2022/01/05,1.418,1.421,1.381,1.384,724465228,1010846400.0,588000
2022/01/06,1.38,1.389,1.363,1.375,543252911,746834112.0,588000
2022/01/07,1.378,1.384,1.358,1.358,524334772,717391296.0,588000
2022/01/10,1.361,1.374,1.343,1.372,411566634,561204992.0,588000
2022/01/11,1.372,1.372,1.343,1.344,560613501,758103680.0,588000
2022/01/12,1.35,1.367,1.349,1.366,431005344,586119552.0,588000
2022/01/13,1.367,1.369,1.347,1.348,366069840,495147456.0,588000
